NMT,Hour,SEL,SEL,SEL,Leq,Leq,EPNL,EPNL,LASmax,LASmax,LAZ,LAZ
,,mean,max,count,mean,max,mean,max,mean,max,mean,max
MP03,7.0,80.37614638447972,94.8,2268,65.9052028218695,77.4,82.34201940035274,96.9,69.7155643738977,84.4,71.01926807760141,85.4
MP03,8.0,80.42096219931271,94.2,2910,66.26271477663231,76.1,81.83972508591066,99.3,70.01463917525773,83.0,70.89278350515464,87.8
MP03,9.0,80.11400516795867,94.3,1935,66.0777260981912,76.6,81.61850129198966,95.5,69.82527131782946,84.4,70.68847545219639,87.0
MP03,10.0,79.67167252636865,95.2,1991,65.69467604218985,78.1,81.08508287292817,100.2,69.40939226519338,83.1,70.38001004520342,87.5
MP03,11.0,79.8678872053872,94.6,2376,65.85606060606061,76.9,81.33085016835017,96.4,69.76864478114477,83.8,70.5702861952862,84.3
MP03,12.0,80.1799532892176,94.6,2569,66.05710393149086,76.2,81.53012845465162,95.8,70.191747761775,84.3,70.92970027247956,87.9
MP03,13.0,79.56157294213529,94.0,2454,65.44237978810106,75.7,80.92098614506928,96.8,69.44038304808477,83.5,70.47090464547678,84.9
MP03,14.0,79.7480487804878,96.1,2050,65.69253658536586,78.6,81.03843902439024,98.6,69.81634146341463,86.6,70.58073170731707,87.9
MP03,15.0,79.61076923076924,95.0,2470,65.62101214574899,76.1,80.96032388663967,95.0,69.64485829959514,83.1,70.4382995951417,87.4
MP03,16.0,79.63772024451636,101.2,2781,65.51003236245954,81.9,81.06914778856526,106.0,69.53606616325062,86.1,70.54120819848976,92.6
MP03,17.0,79.4992252681764,94.0,1678,65.26185935637663,74.9,81.3349821215733,96.1,69.39153754469606,82.8,70.44821215733016,84.7
MP03,18.0,80.17100977198697,94.0,1842,65.91270358306188,75.8,81.73398479913138,97.1,70.02464712269273,84.7,70.87350705754615,85.2
MP03,19.0,79.51994868505453,93.2,1559,65.21128928800513,76.8,80.9505452212957,94.7,69.17716484926234,83.5,70.49159717767799,84.8
MP03,20.0,80.30926517571885,94.4,1252,65.83410543130991,76.6,81.61421725239616,96.0,69.98130990415336,84.3,71.14840255591055,86.9
MP03,21.0,80.4521492295215,96.1,1233,66.05344687753447,77.6,81.35117599351176,97.0,70.16034063260341,85.1,71.21703163017033,86.5
MP03,22.0,81.22307692307692,94.6,1053,66.81016144349478,77.0,81.95631528964863,96.1,70.81576448243115,83.7,71.68974358974359,85.3
MP03,23.0,79.53016061867936,96.1,1681,65.34610350981559,79.3,80.51725163593099,97.7,68.7518738845925,86.7,70.3286734086853,86.4
