Hour,DayOfWeek,Hour,Temp,A/D,Runway,Airline,From/To,Aircraft Type
13,6,13,28.0,0,1,0,48,5
13,0,13,26.6,0,0,0,9,6
19,6,19,16.8,0,0,5,18,1
23,4,23,26.1,0,1,18,34,11
12,0,12,23.4,0,0,0,28,5
10,5,10,8.0,0,0,0,6,7
4,6,4,15.5,0,0,0,31,5
10,5,10,23.0,0,0,0,31,6
17,6,17,10.7,0,0,0,18,5
1,2,1,18.6,0,0,0,1,7
16,1,16,26.6,0,1,0,7,5
7,0,7,14.3,0,1,0,11,5
7,1,7,1.8,0,0,0,7,6
15,4,15,29.1,0,1,20,19,15
23,1,23,8.1,0,0,0,15,7
8,4,8,18.6,0,0,0,12,6
19,6,19,28.3,0,0,0,48,5
19,2,19,11.6,0,0,13,6,6
16,6,16,16.9,0,0,0,18,5
13,3,13,29.2,0,0,5,5,1
5,4,5,3.8,0,0,0,9,6
15,1,15,20.8,0,0,0,13,6
18,1,18,27.1,0,0,0,12,6
6,5,6,6.0,0,0,0,29,5
13,3,13,26.9,0,0,10,22,11
6,4,6,8.5,0,0,5,18,1
12,1,12,16.9,0,0,0,12,5
17,6,17,17.5,0,0,5,12,4
4,6,4,2.6,0,0,5,4,1
8,6,8,18.3,0,1,0,18,5
8,5,8,1.6,0,0,0,9,6
11,6,11,8.0,0,0,20,19,15
16,5,16,16.9,0,0,0,31,6
11,6,11,18.3,0,1,5,10,4
11,2,11,11.0,0,0,5,41,1
9,5,9,20.7,0,1,0,29,5
1,2,1,16.4,0,0,0,46,0
13,5,13,13.7,0,0,0,3,5
15,3,15,27.8,0,1,0,12,6
7,6,7,8.9,0,0,0,25,6
21,0,21,18.0,0,0,5,9,4
1,5,1,18.8,0,0,0,6,5
15,6,15,28.3,0,0,5,62,1
9,4,9,17.1,0,1,0,25,5
6,5,6,9.9,0,0,0,3,5
5,3,5,8.9,0,0,5,3,4
20,3,20,9.6,0,0,0,22,0
19,1,19,32.5,0,1,0,12,6
16,5,16,30.2,0,1,0,3,6
16,1,16,10.5,0,0,0,1,7
13,1,13,9.7,1,2,0,18,5
16,6,16,19.0,0,0,4,9,4
7,4,7,10.4,0,0,0,29,6
